circ;canton;bureau;inscrits;votants;nuls;exprimes;abstentions;toulouse_pour_tous_a;faire_front_pour_tou;avec_francois_simon;les_verts_avec_marie;liste_lutte_ouvriere;retablir_la_securite;100_a_gauche;motive_e_e_repens;liste_pour_la_defens;100_toulouse
1;4;57;578;357;8;349;221;162;16;72;25;4;5;12;49;2;2
1;1;6;932;559;4;555;373;203;9;134;47;8;15;17;116;0;6
2;6;93;995;591;13;578;404;217;14;158;34;6;9;28;108;1;3
2;15;220;986;558;22;536;428;227;27;153;36;8;15;11;55;1;3
3;9;142;820;416;14;402;404;212;20;82;27;8;19;2;30;1;1
1;1;5;707;458;11;447;249;241;15;100;28;4;7;5;44;0;3
1;7;102;719;385;10;375;334;176;12;92;19;4;6;7;49;4;6
3;10;152;982;520;23;497;462;174;27;161;24;11;12;17;62;2;7
1;5;76;938;580;14;566;358;248;17;131;31;5;7;19;103;2;3
4;11;179;666;402;13;389;264;151;20;111;16;9;22;11;39;3;7
1;5;73;988;596;26;570;392;240;16;119;40;4;5;22;117;1;6
3;10;162;963;542;25;517;421;224;16;142;30;6;14;15;61;3;6
4;11;177;792;464;19;445;328;165;24;157;11;11;18;10;43;2;4
1;7;113;800;426;5;421;374;127;22;154;27;7;10;8;62;2;2
2;8;128;702;402;12;390;300;162;19;109;17;11;10;6;46;5;5
3;9;141;987;602;17;585;385;281;17;157;38;11;12;5;52;2;10
4;3;48;786;469;10;459;317;170;36;141;24;9;12;18;43;0;6
4;11;169;766;403;22;381;363;144;28;126;16;4;7;15;35;4;2
1;7;116;1 018;618;24;594;400;238;34;185;30;15;19;13;48;3;9
2;8;129;854;478;18;460;376;175;18;168;24;8;16;17;30;1;3
3;9;139;1 053;619;25;594;434;250;27;168;52;10;12;6;62;0;7
5;13;;931;556;10;546;375;249;28;167;28;7;10;9;46;1;1
6;12;199;524;294;6;288;230;105;28;92;10;10;5;8;26;2;2
2;8;118;870;518;9;509;352;243;20;124;36;7;11;8;53;3;4
3;10;161;959;590;24;566;369;236;26;162;33;10;10;15;62;5;7
5;14;207;906;559;16;543;347;221;30;167;21;7;21;10;64;1;1
1;4;61;746;410;15;395;336;158;15;111;26;15;6;7;54;2;1
1;5;83;915;567;13;554;348;303;22;109;33;4;8;15;57;0;3
1;7;110;840;515;16;499;325;197;24;160;30;4;16;15;47;3;3
2;8;126;873;540;19;521;333;251;17;125;26;11;8;11;64;1;7
4;2;21;852;503;10;493;349;305;11;77;21;1;12;8;52;1;5
4;3;45;822;487;12;475;335;178;17;167;18;12;11;4;65;0;3
4;11;181;849;483;18;465;366;181;28;131;23;6;18;8;58;1;11
6;12;192;744;444;17;427;300;123;49;151;13;10;13;10;51;2;5
3;9;147;916;618;39;579;298;230;24;172;47;8;15;10;67;1;5
4;3;38;1 033;674;17;657;359;220;24;202;38;19;21;23;107;1;2
1;7;117;921;535;17;518;386;190;22;167;45;13;7;12;58;0;4
2;6;97;659;434;19;415;225;140;21;137;20;11;12;10;57;2;5
6;12;;891;566;11;555;325;248;19;150;38;6;14;15;51;2;12
1;5;75;1 007;623;29;594;384;201;14;139;40;11;10;23;156;0;0
1;7;111;835;512;17;495;323;202;26;146;32;9;14;10;53;0;3
2;6;94;819;479;19;460;340;164;24;121;34;7;6;13;86;4;1
2;8;120;962;554;19;535;408;270;25;119;32;4;18;6;57;0;4
3;9;144;1 074;634;24;610;440;284;16;162;39;8;10;10;74;1;6
4;2;20;853;549;17;532;304;275;14;107;43;4;13;10;58;1;7
1;1;14;1 069;643;11;632;426;273;24;158;46;9;10;18;77;5;12
3;10;157;1 008;568;16;552;440;244;18;149;30;10;17;11;68;2;3
5;13;202;891;505;16;489;386;189;20;148;31;11;12;5;65;5;3
3;10;153;725;303;19;284;422;106;30;94;9;13;4;2;25;0;1
4;2;31;842;493;23;470;349;272;11;72;30;2;14;9;56;1;3
1;5;86;892;524;20;504;368;195;9;137;35;4;9;6;101;4;4
1;7;103;853;504;12;492;349;150;28;167;31;10;19;20;60;2;5
4;3;50;888;545;11;534;343;201;18;165;27;16;16;20;65;3;3
3;9;135;948;597;24;573;351;276;17;140;55;8;10;10;52;1;4
4;3;;775;467;8;459;308;206;16;132;32;6;15;12;40;0;0
5;13;203;614;383;8;375;231;205;12;93;19;11;8;4;19;1;3
4;2;22;899;542;21;521;357;255;15;107;38;8;5;14;75;0;4
4;2;28;921;538;15;523;383;220;12;93;47;2;9;10;122;2;6
2;15;221;1 162;751;27;724;411;260;26;228;55;14;35;20;74;3;9
1;1;2;566;324;6;318;242;143;18;70;17;2;3;9;46;3;7
2;6;99;626;369;18;351;257;141;14;115;14;8;3;10;40;0;6
1;1;16;828;517;9;508;311;219;14;139;36;10;10;15;58;0;7
1;5;74;643;391;6;385;252;171;10;78;15;4;12;11;62;1;21
1;5;84;809;489;14;475;320;205;19;103;36;5;8;9;85;0;5
1;7;101;747;472;10;462;275;159;10;111;31;7;11;16;112;1;4
2;6;89;1 023;564;11;553;459;216;35;168;31;5;15;14;64;1;4
4;2;18;1 044;632;15;617;412;262;26;148;38;7;15;7;103;2;9
4;2;29;913;570;14;556;343;245;18;94;44;5;12;15;118;0;5
1;7;112;849;498;16;482;351;171;20;177;35;7;17;12;36;0;7
3;10;150;970;620;19;601;350;202;33;188;36;13;13;26;83;3;4
4;3;33;990;589;24;565;401;226;20;164;30;7;9;17;87;3;2
1;7;105;777;495;17;478;282;193;24;141;35;9;27;9;35;2;3
1;7;106;847;476;15;461;371;174;28;134;25;10;22;11;50;1;6
4;3;37;1 072;674;14;660;398;253;26;182;40;12;19;23;98;3;4
4;3;46;1 131;693;16;677;438;293;24;202;42;13;19;16;57;2;9
1;1;1;1 035;553;14;539;482;251;14;101;38;4;14;12;95;1;9
1;7;;860;567;18;549;293;221;19;195;30;7;10;11;51;0;5
3;9;140;1 028;599;15;584;429;280;19;143;34;6;9;8;81;0;4
1;4;63;731;392;8;384;339;113;26;144;11;6;9;8;62;2;3
6;12;201;927;582;19;563;345;257;21;144;42;5;19;7;63;2;3
1;1;15;903;574;11;563;329;264;25;143;27;10;12;12;66;0;4
1;4;65;862;489;11;478;373;205;33;130;24;11;8;14;46;2;5
4;11;168;664;415;15;400;249;134;21;157;16;13;12;14;30;1;2
1;7;;905;526;15;511;379;218;25;140;30;16;13;17;47;1;4
6;12;197;1 000;684;14;670;316;266;25;214;47;10;16;22;66;0;4
1;1;8;1 001;590;12;578;411;255;23;117;38;4;11;19;104;3;4
3;9;138;875;576;14;562;299;271;18;138;36;11;13;12;56;2;5
4;11;166;977;643;19;624;334;224;20;184;43;8;36;18;80;5;6
3;10;154;848;424;22;402;424;144;38;121;19;11;17;11;34;2;5
4;11;170;755;471;11;460;284;224;22;109;24;10;20;16;32;1;2
6;12;190;645;291;9;282;354;68;13;107;10;4;10;11;56;1;2
3;9;132;855;483;11;472;372;197;18;126;26;11;11;15;61;1;6
1;1;9;1 075;639;15;624;436;268;14;163;38;12;10;15;98;3;3
3;9;137;934;609;13;596;325;259;16;161;67;5;4;11;69;1;3
1;5;78;758;484;18;466;274;225;7;97;27;5;13;14;65;3;10
6;12;;541;307;9;298;234;104;21;87;17;7;9;5;46;0;2
3;10;156;659;351;17;334;308;108;19;113;19;5;21;6;37;0;6
6;12;196;1 138;704;11;693;434;259;27;228;47;9;26;14;71;0;12
6;12;198;1 160;751;23;728;409;335;33;187;38;12;25;21;71;1;5
2;15;219;1 002;612;20;592;390;251;21;178;40;4;15;13;61;6;3
3;10;164;1 023;515;14;501;508;175;10;161;29;11;3;16;91;0;5
3;9;148;889;527;14;513;362;238;9;137;32;9;12;12;60;1;3
2;15;218;964;593;10;583;371;255;25;160;37;14;13;7;63;7;2
1;1;3;706;422;6;416;284;237;13;69;21;2;11;8;49;0;6
1;4;66;786;475;13;462;311;221;23;111;22;8;4;12;58;1;2
2;6;96;837;528;28;500;309;174;16;166;30;8;13;15;69;5;4
1;4;58;1 108;652;19;633;456;222;21;175;52;11;18;21;110;1;2
1;4;64;903;587;13;574;316;238;27;159;33;15;12;9;74;1;6
2;15;;1 125;671;32;639;454;292;21;175;29;13;16;17;61;1;14
4;11;180;636;311;10;301;325;122;14;73;10;5;20;8;46;2;1
1;4;53;942;572;12;560;370;213;26;157;57;13;8;5;71;8;2
3;10;165;1 243;882;17;865;361;358;18;257;74;12;14;23;104;1;4
5;13;205;967;597;11;586;370;205;32;209;34;11;23;14;51;3;4
4;11;;749;439;17;422;310;176;26;125;23;11;13;13;34;0;1
4;11;182;805;501;20;481;304;212;15;125;22;3;24;13;59;1;7
1;5;77;734;456;12;444;278;199;8;103;33;3;17;11;67;1;2
2;8;119;904;562;17;545;342;322;18;111;24;8;11;8;40;1;2
3;10;151;782;491;18;473;291;170;16;160;26;5;11;15;65;1;4
1;4;55;716;475;8;467;241;170;16;130;39;8;10;17;70;3;4
2;15;215;851;418;20;398;433;106;27;156;11;8;9;10;65;2;4
3;9;133;817;506;12;494;311;213;27;145;31;10;8;14;41;2;3
4;11;171;819;431;24;407;388;162;13;133;14;9;17;19;32;0;8
6;12;;1 024;651;18;633;373;212;38;210;47;6;18;18;76;5;3
1;1;13;896;553;13;540;343;202;26;131;45;5;8;19;95;2;7
1;7;108;855;523;19;504;332;231;27;135;23;7;18;17;42;1;3
2;6;90;975;554;26;528;421;188;19;159;49;7;18;18;61;5;4
2;15;217;1 081;628;25;603;453;242;27;158;36;12;20;16;80;4;8
1;1;11;988;595;12;583;393;314;16;109;34;11;3;7;83;2;4
2;8;122;977;606;15;591;371;342;29;106;49;3;16;0;45;0;1
2;6;88;1 000;599;13;586;401;193;24;214;41;8;15;14;73;1;3
4;3;34;931;618;11;607;313;216;27;169;48;4;19;24;92;2;6
4;11;172;745;404;15;389;341;150;24;110;12;11;15;14;50;2;1
1;5;72;987;572;16;556;415;220;15;136;41;3;7;19;107;2;6
5;14;212;329;177;7;170;152;71;21;36;12;6;9;4;10;1;0
2;6;98;701;438;20;418;263;160;9;172;19;6;16;4;28;1;3
3;9;136;734;456;12;444;278;207;7;121;35;5;15;9;42;3;0
4;2;23;1 122;632;19;613;490;232;25;161;49;18;12;10;97;0;9
4;3;35;950;588;13;575;362;176;11;162;55;4;7;12;144;3;1
4;3;51;908;576;14;562;332;211;15;185;50;7;13;11;67;1;2
1;7;109;969;589;21;568;380;250;42;138;33;18;16;7;59;1;4
1;5;81;1 015;580;10;570;435;227;16;133;42;8;5;14;118;3;4
2;15;213;826;469;27;442;357;163;22;168;19;8;11;10;34;4;3
5;14;210;614;366;9;357;248;169;24;94;19;7;7;6;23;2;6
4;2;32;755;503;12;491;252;303;11;76;23;1;13;8;43;0;13
1;4;;658;361;9;352;297;148;11;83;19;10;13;1;58;2;7
1;4;59;769;527;15;512;242;205;18;143;40;7;16;8;74;1;0
1;4;60;692;404;7;397;288;179;23;113;9;1;10;11;47;0;4
4;3;42;978;611;13;598;367;257;15;170;35;10;16;19;71;1;4
5;14;206;671;460;8;452;211;185;17;151;18;10;19;9;38;2;3
4;2;26;768;453;13;440;315;198;19;83;35;2;8;12;78;0;5
4;2;27;934;567;7;560;367;258;14;139;32;5;13;11;85;1;2
2;6;95;945;546;17;529;399;213;22;174;24;10;17;13;55;1;0
1;7;107;904;550;12;538;354;225;24;154;37;11;15;13;53;0;6
4;11;183;873;586;15;571;287;286;21;141;38;5;33;7;35;1;4
6;12;191;860;372;3;369;488;129;13;142;8;4;10;10;48;4;1
2;8;130;1 314;814;32;782;500;265;47;256;41;23;30;20;86;4;10
4;11;176;737;284;10;274;453;78;17;85;13;7;9;7;53;0;5
4;11;178;801;462;6;456;339;172;35;154;15;5;28;13;26;0;8
1;1;7;725;454;5;449;271;162;11;107;29;2;6;17;107;4;4
3;9;143;963;586;15;571;377;265;20;143;45;10;13;12;58;0;5
4;11;173;850;507;11;496;343;199;0;148;21;14;31;17;40;22;4
6;12;187;448;230;10;220;218;75;5;82;6;7;7;4;34;0;0
6;12;193;638;347;6;341;291;147;20;84;16;9;18;6;35;3;3
5;14;209;958;582;10;572;376;225;23;170;35;13;12;8;76;4;6
6;12;189;885;476;11;465;409;150;24;162;27;10;12;19;56;1;4
6;12;;748;453;16;437;295;123;25;141;24;10;17;14;76;1;6
1;7;100;881;494;11;483;387;129;14;135;45;9;9;24;110;3;5
4;2;19;843;553;14;539;290;272;9;114;42;8;10;8;62;3;11
4;2;24;1 065;612;22;590;453;212;14;133;40;9;14;23;135;1;9
4;3;40;894;518;12;506;376;210;23;147;26;8;19;17;50;0;6
1;1;10;1 103;630;12;618;473;282;15;148;57;8;10;11;81;1;5
3;9;131;872;488;19;469;384;231;19;116;36;4;7;8;42;2;4
4;3;39;1 023;682;8;674;341;253;27;202;41;16;29;15;83;2;6
4;3;52;918;523;9;514;395;197;21;160;26;9;23;29;44;2;3
1;1;17;853;519;16;503;334;201;13;152;30;15;22;9;55;3;3
2;6;87;946;576;20;556;370;238;19;166;31;6;14;13;63;2;4
6;12;200;885;558;16;542;327;242;24;158;30;13;20;7;39;0;9
1;4;62;860;503;11;492;357;213;26;122;35;7;18;7;63;1;0
3;9;134;771;487;13;474;284;261;8;105;24;6;10;8;35;4;13
6;12;194;862;568;10;558;294;202;12;181;33;13;16;36;56;2;7
1;4;69;690;452;17;435;238;177;24;152;27;5;7;5;34;2;2
1;4;70;696;458;10;448;238;173;21;130;25;10;15;15;57;0;2
1;4;71;928;551;10;541;377;184;45;177;37;10;10;6;63;4;5
1;7;114;690;378;6;372;312;135;19;132;12;8;14;12;36;3;1
4;2;25;1 053;631;12;619;422;224;28;182;39;11;11;12;104;2;6
4;11;175;763;366;17;349;397;134;25;79;13;17;12;12;47;4;6
6;12;186;739;278;9;269;461;70;13;111;14;7;11;10;29;2;2
1;1;4;826;552;14;538;274;324;16;103;23;3;9;3;39;2;16
1;5;80;831;482;8;474;349;220;16;78;28;10;6;8;99;0;9
2;15;216;897;520;15;505;377;184;19;158;42;11;7;14;60;3;7
3;9;;912;610;30;580;302;242;22;159;38;10;11;19;70;3;6
3;9;145;966;626;21;605;340;219;25;195;42;21;17;10;73;2;1
3;10;158;989;594;17;577;395;204;21;201;44;7;8;20;65;1;6
6;12;195;1 066;684;21;663;382;264;31;183;60;16;25;15;65;3;1
